timestamp_iso,epoch_ms,process,pid,cpu_percent_of_one_core,working_set_mb,private_mb,threads,handles
2026-08-22T19:37:49.412,1787402269412,node,3728,0,113.73,119.86,12,206
2026-08-22T19:37:49.412,1787402269412,node,13132,0,76.66,75.43,17,184
2026-08-22T19:37:49.412,1787402269412,java,4556,246.3,199.77,1208.41,55,649
2026-08-22T19:37:51.506,1787402271506,node,3728,0,113.73,119.86,12,206
2026-08-22T19:37:51.506,1787402271506,node,13132,0.7,77.07,75.52,17,183
2026-08-22T19:37:51.506,1787402271506,java,4556,26.1,203.34,1212.15,57,661
2026-08-22T19:37:53.536,1787402273536,node,3728,0.8,113.73,119.86,12,207
2026-08-22T19:37:53.536,1787402273536,node,13132,0,77.07,75.52,17,183
2026-08-22T19:37:53.536,1787402273536,java,4556,3.8,180.8,1191.99,55,657
2026-08-22T19:37:55.580,1787402275580,node,3728,0.8,113.73,119.86,12,207
2026-08-22T19:37:55.580,1787402275580,node,13132,0,77.08,75.52,17,183
2026-08-22T19:37:55.580,1787402275580,java,4556,3.1,180.91,1192.05,55,657
2026-08-22T19:37:57.610,1787402277610,node,3728,0,113.73,119.86,12,208
2026-08-22T19:37:57.610,1787402277610,node,13132,0,77.09,75.76,17,183
2026-08-22T19:37:57.610,1787402277610,java,4556,1.5,180.91,1193.03,55,660
2026-08-22T19:37:59.642,1787402279642,node,3728,0.8,113.73,119.86,12,209
2026-08-22T19:37:59.642,1787402279642,node,13132,0,77.09,75.76,17,183
2026-08-22T19:37:59.642,1787402279642,java,4556,0.8,181.36,1193.64,55,663
2026-08-22T19:38:01.671,1787402281671,node,3728,1.5,113.73,119.86,12,209
2026-08-22T19:38:01.671,1787402281671,node,13132,0,77.09,75.76,17,183
2026-08-22T19:38:01.671,1787402281671,java,4556,0.8,181.51,1193.78,55,663
2026-08-22T19:38:03.697,1787402283697,node,3728,2.3,113.73,119.86,12,210
2026-08-22T19:38:03.697,1787402283697,node,13132,3.9,58.02,55.8,17,183
2026-08-22T19:38:03.697,1787402283697,java,4556,4.6,181.88,1194.2,55,666
2026-08-22T19:38:05.717,1787402285717,node,3728,1.5,113.73,119.86,12,211
2026-08-22T19:38:05.717,1787402285717,node,13132,0.8,58.02,55.8,17,183
2026-08-22T19:38:05.717,1787402285717,java,4556,5.4,182.07,1194.39,55,669
2026-08-22T19:38:07.742,1787402287742,node,3728,1.5,113.73,119.86,12,211
2026-08-22T19:38:07.742,1787402287742,node,13132,0,58.02,55.8,17,183
2026-08-22T19:38:07.742,1787402287742,java,4556,3.9,182.16,1194.45,55,669
2026-08-22T19:38:09.763,1787402289763,node,3728,3.1,113.73,119.86,12,212
2026-08-22T19:38:09.763,1787402289763,node,13132,0,58.02,55.8,17,183
2026-08-22T19:38:09.763,1787402289763,java,4556,8.5,188.54,1197.02,55,672
2026-08-22T19:38:11.787,1787402291787,node,3728,6.2,113.73,119.86,12,213
2026-08-22T19:38:11.787,1787402291787,node,13132,0,58.02,55.8,17,183
2026-08-22T19:38:11.787,1787402291787,java,4556,2.3,188.71,1197.15,55,675
2026-08-22T19:38:13.810,1787402293810,node,3728,2.3,112.05,118.07,12,213
2026-08-22T19:38:13.810,1787402293810,node,13132,0,58.02,55.8,17,183
2026-08-22T19:38:13.810,1787402293810,java,4556,3.1,182.02,1190.7,55,675
2026-08-22T19:38:15.828,1787402295828,node,3728,1.5,112.05,118.07,12,214
2026-08-22T19:38:15.828,1787402295828,node,13132,0,57.97,55.7,14,183
2026-08-22T19:38:15.828,1787402295828,java,4556,2.3,182.6,1191.27,55,678
2026-08-22T19:38:17.849,1787402297849,node,3728,5.4,112.05,118.07,12,214
2026-08-22T19:38:17.849,1787402297849,node,13132,0,57.97,55.7,14,183
2026-08-22T19:38:17.849,1787402297849,java,4556,3.9,183.21,1191.94,55,678
2026-08-22T19:38:19.869,1787402299869,node,3728,4.6,112.07,118.07,12,215
2026-08-22T19:38:19.869,1787402299869,node,13132,0,57.97,55.7,14,183
