timestamp_iso,epoch_ms,process,pid,cpu_percent_of_one_core,working_set_mb,private_mb,threads,handles
2026-08-22T18:31:07.040,1787398267040,node,3728,0,78.9,86.22,12,206
2026-08-22T18:31:07.040,1787398267040,node,14640,0,68.06,71.94,17,184
2026-08-22T18:31:07.040,1787398267040,java,2292,215.9,194.31,1202.38,57,657
2026-08-22T18:31:09.098,1787398269098,node,3728,0,78.9,86.22,12,206
2026-08-22T18:31:09.098,1787398269098,node,14640,0,68.37,71.95,17,183
2026-08-22T18:31:09.098,1787398269098,java,2292,42.5,197.89,1206.25,59,668
2026-08-22T18:31:11.128,1787398271128,node,3728,0.8,78.93,86.26,12,206
2026-08-22T18:31:11.128,1787398271128,node,14640,0,68.37,71.95,17,183
2026-08-22T18:31:11.128,1787398271128,java,2292,0.8,180.04,1189.81,57,662
2026-08-22T18:31:13.178,1787398273178,node,3728,0,78.93,86.26,12,207
2026-08-22T18:31:13.178,1787398273178,node,14640,0.8,58.05,56.82,17,183
2026-08-22T18:31:13.178,1787398273178,java,2292,3,181.51,1191.14,57,665
2026-08-22T18:31:15.202,1787398275202,node,3728,2.3,78.94,86.27,12,208
2026-08-22T18:31:15.202,1787398275202,node,14640,3.9,57.69,57.55,17,183
2026-08-22T18:31:15.202,1787398275202,java,2292,1.5,181.56,1192.01,57,668
2026-08-22T18:31:17.230,1787398277230,node,3728,0.8,78.96,86.29,12,208
2026-08-22T18:31:17.230,1787398277230,node,14640,0,57.7,57.55,17,183
2026-08-22T18:31:17.230,1787398277230,java,2292,1.5,181.62,1192.07,57,668
2026-08-22T18:31:19.259,1787398279259,node,3728,0.8,78.96,86.29,12,209
2026-08-22T18:31:19.259,1787398279259,node,14640,0,57.7,57.55,17,183
2026-08-22T18:31:19.259,1787398279259,java,2292,1.5,181.91,1192.29,57,671
2026-08-22T18:31:21.283,1787398281283,node,3728,1.5,78.98,86.31,12,210
2026-08-22T18:31:21.283,1787398281283,node,14640,0,57.7,57.55,17,183
2026-08-22T18:31:21.283,1787398281283,java,2292,5.4,180.89,1188.59,57,674
2026-08-22T18:31:23.314,1787398283314,node,3728,0,78.98,86.31,12,211
2026-08-22T18:31:23.314,1787398283314,node,14640,0,57.7,57.55,17,183
2026-08-22T18:31:23.314,1787398283314,java,2292,3.1,181.32,1189.06,57,677
2026-08-22T18:31:25.343,1787398285343,node,3728,1.5,79.02,86.37,12,211
